{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
{'truck_id': 1024, 'truck_brand': 'Man', 'capacity_kg': 37000, 'max_range_km': 10000, 'status': <TruckStatus.FREE: 'free'>, 'current_route': None, 'current_load_kg': 0}
